case_id,jurisdiction,mode,stage,industry,ask_type,corpus_expectation,weak_corpus_stress,negative_edge,fixed_prompt,allowed_followup,tags
"penny-eval-001","ON","opportunity_backed","operating small","saas","hiring","strong_pool","no","no","We are a 12-person B2B SaaS company in Toronto selling compliance workflow software to Canadian clinics. We want to hire two senior developers in September and spend about $280,000 on payroll over the next year. What verified Canadian non-loan funding or tax credits fit this specific hiring and product roadmap?","","ON;saas;hiring;lever;strong-pool"
"penny-eval-002","QC","opportunity_backed","growth","film","equipment purchase","strong_pool","no","no","Our Montreal animation studio has 28 employees and a signed service contract for a streaming series starting in October. We need $420,000 of rendering hardware and local post-production labour. Which verified Quebec or federal non-loan programs are strong fits, and which are only conditional?","","QC;film;capex;creative;fit-bands"
"penny-eval-003","BC","aspiration_first","idea","tourism","business shape","weak_pool","yes","no","I want to start a low-impact guided kayak and cultural interpretation business near Port Hardy in British Columbia next spring. I am solo today, have $35,000 saved, and want to know what business shape could qualify for verified non-loan funding. Please do not give me a generic tourism grant list.","I do not have revenue yet; this is an idea-stage business and I want to know what shape would qualify.","BC;tourism;aspiration;weak-corpus"
"penny-eval-004","AB","opportunity_backed","mid","manufacturing","equipment purchase","strong_pool","no","no","We run a 34-person metal fabrication shop in Red Deer and supply parts to oilfield service companies. We plan to buy a $900,000 automated cutting line in Q1 and train six operators. What non-loan government funding or credits fit this equipment and training plan?","","AB;manufacturing;capex;training"
"penny-eval-005","MB","opportunity_backed","operating small","food processing","expansion","strong_pool","no","no","Our Winnipeg food processor makes frozen perogies for regional grocery chains and has 9 employees. We want to add a packaging line, spend about $180,000, and pursue HACCP certification before the fall buying season. What verified non-loan programs fit the expansion, and what should we change to qualify?","","MB;food-processing;capex;certification;lever"
"penny-eval-006","SK","opportunity_backed","growth","agriculture","equipment purchase","strong_pool","no","no","We operate a family-owned pulse crop farm and small cleaning facility near Moose Jaw with 14 seasonal workers. We are considering optical sorting equipment for lentils, about $350,000, before next harvest. Which Saskatchewan or federal non-loan programs are actionable for this specific project?","","SK;agriculture;capex;strong-pool"
"penny-eval-007","NS","opportunity_backed","pre-revenue","clean tech","research and development","weak_pool","yes","no","We are a Halifax clean-tech startup with three founders and a lab prototype for low-temperature heat recovery in fish plants. We have no revenue yet but plan a $120,000 pilot with one seafood processor this winter. Find verified non-loan funding, and label what is strong versus conditional for a pre-revenue company.","We are incorporated in Nova Scotia and the pilot site is a private seafood processor outside Halifax.","NS;clean-tech;pre-revenue;R&D;weak-corpus"
"penny-eval-008","NB","opportunity_backed","operating small","export","export market","strong_pool","no","no","Our Moncton company makes bilingual safety training software for trucking fleets and has 7 employees. We already sell in New Brunswick and want to enter Maine and Quebec within 12 months with $90,000 in marketing and localization spend. What verified non-loan export or growth funding fits this plan?","","NB;export;saas;marketing"
"penny-eval-009","PE","aspiration_first","planning","childcare","new location","weak_pool","yes","no","I want to open a licensed childcare centre in Summerside, PEI with 32 spaces and a focus on extended hours for shift workers. I have a lease option but no incorporated company yet. Are there verified non-loan business programs that shape whether this is worth building?","I can incorporate in PEI before applying, but I have not hired staff yet.","PE;childcare;aspiration;weak-corpus"
"penny-eval-010","NL","opportunity_backed","operating small","tourism","expansion","strong_pool","no","no","We run a six-room eco-lodge near Gros Morne in Newfoundland and Labrador with four year-round staff. We want to add accessible trails, winter packages, and $75,000 of energy efficiency upgrades before next tourist season. Which verified non-loan programs fit this exact expansion?","","NL;tourism;accessibility;energy;lever"
"penny-eval-011","NT","opportunity_backed","operating small","northern logistics","equipment purchase","weak_pool","yes","no","Our Yellowknife logistics company has 11 employees and moves refrigerated food to smaller Northwest Territories communities. We need to replace two diesel reefers with lower-emission units costing about $240,000 before winter roads open. What territorial or federal non-loan funding is verified and actually relevant?","","NT;northern-logistics;clean-equipment;weak-corpus"
"penny-eval-012","NU","aspiration_first","idea","tourism","business shape","weak_pool","yes","no","I want to start a small Inuit-owned cultural tourism business in Rankin Inlet with guided day trips, local artists, and seasonal jobs for youth. I have no company yet and maybe $20,000 to start. What verified non-loan funding or setup path should shape the business?","The business would be majority Inuit-owned and based in Nunavut.","NU;tourism;Indigenous-led;aspiration;weak-corpus"
