case_id,jurisdiction,mode,stage,industry,ask_type,corpus_expectation,weak_corpus_stress,tags,fixed_prompt
fe-001,ON,opportunity_backed,operating_small,saas,hiring,strong_pool,no,ON;saas;hiring,"We run a 6-person B2B SaaS company in Kitchener and want to hire one junior ML developer in September. We sell to logistics companies and have one paid pilot, but no formal R&D claim yet. What non-loan programs should we actually pursue?"
fe-002,QC,opportunity_backed,operating_small,food_manufacturing,equipment,strong_pool,no,QC;food;equipment,"My partner and I own a small gluten-free bakery in Laval with 8 staff. We need a $95K automated packaging line before holiday season and may add two production workers. Please separate equipment help from hiring help."
fe-003,BC,aspiration_first,idea,aquaculture,business_shape,weak_pool,yes,BC;aquaculture;coastal;aspiration,"I am exploring a small kelp nursery near Prince Rupert, not incorporated yet. I have marine biology experience and a First Nation partner is interested but not committed. What non-loan funding shape would make this fundable?"
fe-004,AB,opportunity_backed,operating_small,childcare,expansion,strong_pool,no,AB;childcare;expansion,"We operate a licensed daycare in Red Deer with 42 spaces and want to renovate a nearby unit to add 18 infant/toddler spots. The lease is not signed yet. What grants or subsidies fit before we spend money?"
fe-005,MB,opportunity_backed,mid,manufacturing,capex,strong_pool,no,MB;manufacturing;robotics,"I run a 24-person metal fabrication shop in Brandon. We are quoting a $180K welding robot and training two operators so we can take more ag-equipment contracts. I only want non-repayable support."
fe-006,SK,opportunity_backed,pre_revenue,agtech,rd,strong_pool,no,SK;agtech;R&D,"We are two founders in Saskatoon building sensor software for grain bins. Prototype works on one farm, but we need $120K for field trials and firmware work over winter. Are there verified grants or tax credits that match this stage?"
fe-007,NS,opportunity_backed,operating_small,tourism,marketing,weak_pool,yes,NS;tourism;experiences,"We own a small cidery outside Wolfville and want to launch paid harvest tours next fall. Budget is maybe $28K for signage, booking software, and shoulder-season marketing. Please do not just list generic Nova Scotia business programs."
fe-008,NB,opportunity_backed,pre_revenue,cybersecurity,export,strong_pool,no,NB;cybersecurity;export,"I am in Fredericton building a cybersecurity compliance tool for US healthcare vendors. We have no revenue yet but two letters of intent from Maine. What non-loan supports fit export validation and product development?"
fe-009,PE,opportunity_backed,operating_small,seafood_processing,equipment,strong_pool,no,PEI;seafood;cold-storage,"We run a 12-person seafood processor in Souris and need a $240K cold-storage upgrade before lobster season. We also want to reduce power use. What funding is real for PEI processors?"
fe-010,NL,aspiration_first,idea,film,business_shape,weak_pool,yes,NL;film;documentary;aspiration,"I am a St. John's editor thinking about starting a documentary production company around offshore workers and family life. I have one CBC intro but no corporation. Tell me what non-loan funding would shape the first project."
